YYYYMMDD	   TG	    Q	   RH
20171208	26	111	154
20171209	21	142	125
20171210	11	36	128
20171211	-1	50	98
20171212	18	310	5
20171213	40	56	138
20171214	33	93	150
20171215	26	94	2
20171216	27	238	14
20171217	25	324	49
20171218	59	138	8
20171219	52	166	-1
20171220	75	76	3
20171221	84	75	3
20171222	86	94	25
20171223	87	46	-1
20171224	82	65	7
20171225	74	76	4
20171226	58	208	12
20171227	51	84	73
20171228	39	291	7
20171229	28	104	67
20171230	88	111	37
20171231	106	85	393
